Question,Answer
What is the capital of Japan?,Tokyo
Who painted the Mona Lisa?,Leonardo da Vinci
What is the currency of Brazil?,Brazilian Real
Which planet is known as the Red Planet?,Mars
"Who is the author of ""To Kill a Mockingbird""?",Harper Lee
How many continents are there on Earth?,7
What is the powerhouse of the cell?,Mitochondria
What is the largest ocean on Earth?,Pacific Ocean
Who discovered penicillin?,Alexander Fleming
What is the boiling point of water in Celsius?,100
In which year did the Titanic sink?,1912
What is the speed of light?,299.792 kilometers per second
"Who played the character of Jack Dawson in the movie ""Titanic""?",Leonardo DiCaprio
What is the main ingredient in guacamole?,Avocado
What is the tallest mountain in the world?,Mount Everest
What is the chemical symbol for gold?,Au
"Who wrote ""Harry Potter and the Philosopher's Stone""?",J.K. Rowling
What is the largest desert in the world?,Antarctica
"Who wrote ""Pride and Prejudice""?",Jane Austen
Which gas do plants absorb during photosynthesis?,Carbon Dioxide (CO2)
"Who is known as the ""Father of Computer Science""?",Alan Turing
What is the currency of South Korea?,Korean Won
In which year did the Berlin Wall fall?,1989
What is the melting point of ice in Celsius?,0
"Who painted ""Starry Night""?",Vincent van Gogh
What is the largest mammal on Earth?,Blue Whale
Which country is known as the Land of the Rising Sun?,Japan
What is the chemical symbol for water?,H2O
Who discovered electricity?,Benjamin Franklin
In which galaxy is our solar system located?,Milky Way
What is the main ingredient in hummus?,Chickpeas
What is the speed of sound in air at sea level?,343 meters per second
Who is the current President of the United States?,Joe Biden
What is the smallest prime number?,2
What is the powerhouse of the cell in biology?,Mitochondria
"Which planet is known as the ""Morning Star"" or ""Evening Star""?",Venus
Who is the founder of Microsoft?,Bill Gates
How many colors are there in a rainbow?,7
What is the main ingredient in traditional Japanese miso soup?,Miso paste
What is the chemical symbol for silver?,Ag
Which ocean is the largest?,Pacific Ocean
Who discovered the theory of evolution by natural selection?,Charles Darwin
What is the capital of Russia?,Moscow
Which element is represented by the symbol Fe in the periodic table?,Iron
What is the largest planet in our solar system?,Jupiter
Who is the Greek god of the sea?,Poseidon
What is the currency of China?,Chinese Yuan
What is the largest island in the world?,Greenland
"Who directed the movie ""Inception""?",Christopher Nolan
What is the square root of 64?,8
In which year did World War I begin?,1914
What is the chemical symbol for oxygen?,O2
Who painted the Sistine Chapel ceiling?,Michelangelo
What is the main ingredient in guacamole?,Avocado
Which gas do humans exhale during respiration?,Carbon Dioxide (CO2)
"Who wrote ""Romeo and Juliet""?",William Shakespeare
What is the boiling point of water in Fahrenheit?,212
What is the capital of South Africa?,Pretoria
What is the largest volcano in the solar system?,Olympus Mons (on Mars)
